bathrooms,parkingSpaces,suites,monthlyCondoFee,usableAreas,bedrooms,backyard,barbgrill,bathtub,fireplace,furnished,garden,guestpark,gym,hottub,partyhall,playground,pool,sauna,sportcourt,tenniscourt,imvl_type,address.region,salePrice
1,1,1,550,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,320000
2,1,1,1382,78,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,290000
1,2,2,1490,210,4,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,apartamentos,Sudeste,640000
2,1,0,300,70,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,320000
1,2,1,1382,93,3,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,apartamentos,Sudeste,1200000
1,2,1,1382,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,850000
2,2,1,550,85,3,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,apartamentos,Sudeste,640000
2,1,1,1382,55,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,300000
2,2,1,760,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,720000
3,2,2,440,82,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,apartamentos,Sul,578300
2,2,1,530,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,380000
2,2,1,850,102,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,950000
3,2,1,950,114,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,1050000
1,1,1,230,65,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,280900
2,2,1,500,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,379990
2,1,1,440,60,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,apartamentos,Sudeste,370000
2,1,1,500,50,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,apartamentos,Sudeste,400000
4,2,1,1530,106,3,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,apartamentos,Sudeste,1090000
2,3,1,3216,326,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,3200000
1,1,1,900,85,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,apartamentos,Sudeste,600000
1,1,1,1382,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,110000
1,1,0,255,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,150000
2,1,1,1382,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,280000
2,2,1,1382,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,350000
0,1,0,320,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,240000
2,2,1,369,56,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,apartamentos,Sudeste,450000
2,1,1,260,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,265000
1,1,1,1382,74,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,874000
2,2,1,350,74,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,apartamentos,Sudeste,339999
2,2,1,690,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,430000
