imvl_type,listing.address.state,listing.backyard,listing.barbgrill,listing.bathrooms,listing.bathtub,listing.bedrooms,listing.fireplace,listing.furnished,listing.garden,listing.guestpark,listing.gym,listing.hottub,listing.parkingSpaces,listing.partyhall,listing.playground,listing.pool,listing.pricingInfo.monthlyCondoFee,listing.pricingInfo.salePrice,listing.pricingInfo.yearlyIptu,listing.sauna,listing.sportcourt,listing.suites,listing.tenniscourt,listing.usableAreas
apartamentos,rn,False,True,4,False,3,False,False,True,False,False,False,2,True,True,True,750,480.000,2.400,False,True,1,False,98
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,True,550,450.000,2.100,False,False,1,False,90
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,True,650,380.000,1.860,False,False,1,False,65
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,1,True,True,True,500,700.000,3.000,True,True,1,False,79
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,350.000,,False,False,1,False,130
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,500,459.000,2.800,False,True,1,False,76
apartamentos,rn,False,True,1,False,2,False,True,True,False,False,False,1,False,True,False,170,128.000,,False,False,0,False,52
apartamentos,rn,False,False,2,False,4,False,False,False,False,False,False,0,False,False,True,1.100,480.000,3.500,False,False,1,False,115
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,False,True,True,,375.000,,False,False,1,False,75
apartamentos,rn,False,False,5,False,3,False,False,False,False,False,False,3,True,False,True,2.000,690.000,3.900,False,True,3,False,230
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,350,385.000,,False,False,1,False,67
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,343,275.000,1.100,False,True,1,False,58
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,850,440.000,250.000,False,False,1,False,94
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,1,False,False,False,,330.000,,False,False,,False,147
apartamentos,rn,False,False,2,False,3,False,False,True,False,True,False,2,True,True,False,550,745.000,2.980,False,False,1,False,90
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,True,True,590,290.000,1.900,False,False,1,False,57
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,2,True,True,True,600,890.000,2.800,True,True,1,True,79
apartamentos,rn,False,True,3,False,3,False,False,False,False,False,False,2,True,False,True,600,380.000,,False,False,1,False,98
apartamentos,rn,False,True,2,False,3,False,False,False,False,True,False,2,True,False,True,,700.000,,False,False,,False,88
apartamentos,rn,False,False,1,False,2,False,False,False,False,False,False,1,False,True,False,330,120.000,980,False,False,,False,56
apartamentos,rn,False,True,4,False,4,False,False,True,False,True,False,2,True,True,True,780,740.000,2.800,False,True,2,False,108
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,300,375.000,,False,False,1,False,75
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,,440.000,,False,True,1,False,98
apartamentos,rn,False,True,4,False,3,False,False,True,False,True,False,2,True,True,True,750,480.000,2.400,False,True,2,False,98
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,325.000,,False,False,1,False,150
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,False,True,400,292.899,,False,False,1,False,49
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,495,329.001,1.250,False,True,1,False,60
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,562,330.000,2.380,False,True,1,False,74
apartamentos,rn,False,True,1,False,3,False,False,True,False,False,False,2,True,True,True,1.014,529.900,2.850,False,False,2,False,103
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,True,True,1,399.999,1,False,False,1,False,55
apartamentos,rn,False,True,3,False,3,False,False,False,False,False,False,2,False,False,True,600,420.000,2.098,False,True,3,False,79
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,True,1.550,430.000,2.297,False,False,2,False,160
apartamentos,rn,False,False,1,False,2,False,False,False,False,False,False,,False,False,False,190,108.001,,False,False,,False,50
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,420,350.000,1.500,False,False,1,False,75
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,True,True,True,500,465.000,2.600,False,True,1,False,75
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,False,False,False,658,350.000,,True,False,,False,42
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,True,False,False,670,450.000,3.435,False,False,1,False,150
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,False,True,True,670,410.000,2.500,False,True,1,False,56
apartamentos,rn,False,True,2,False,2,False,True,False,False,False,False,1,True,False,True,650,359.900,2.500,False,False,1,False,65
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,550,730.000,2.000,True,True,3,False,101
apartamentos,rn,False,True,1,False,1,False,True,True,False,False,False,1,False,False,True,578,320.000,1.100,False,False,1,False,40
apartamentos,rn,False,True,2,False,2,False,True,False,False,True,False,1,False,False,True,,260.000,,True,False,2,False,52
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,,False,False,False,,438.084,,False,False,,False,85
apartamentos,rn,False,True,3,False,3,False,False,False,False,False,False,2,False,False,True,350,190.000,1.334,False,False,1,False,115
apartamentos,rn,False,False,3,False,2,False,False,True,False,False,False,1,False,False,False,390,129.999,600,False,False,1,False,78
apartamentos,rn,False,False,2,False,2,False,False,True,False,False,False,1,False,False,False,350,190.000,,False,False,1,False,65
apartamentos,rn,False,True,2,False,3,False,True,True,False,True,False,2,True,True,True,350,370.000,,False,True,1,False,75
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,True,431,450.000,2.500,False,False,1,False,90
apartamentos,rn,False,True,3,False,3,False,False,False,False,True,False,2,True,True,False,600,620.000,,False,False,1,False,93
apartamentos,rn,False,True,2,False,2,False,False,False,False,True,False,2,False,True,True,600,750.000,2.500,False,True,1,False,80
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,670,420.000,,False,True,1,False,75
apartamentos,rn,False,True,1,False,2,False,False,True,False,False,False,1,True,False,False,310,120.000,400,False,True,0,False,65
apartamentos,rn,False,True,2,False,2,True,True,True,False,True,False,1,True,True,True,300,239.990,,True,True,1,True,54
apartamentos,rn,False,True,3,False,3,False,False,True,False,False,False,2,True,True,True,550,799.000,2.200,False,False,1,False,94
apartamentos,rn,False,True,5,False,4,False,False,False,False,False,False,2,True,True,True,1.771,650.000,3.480,False,False,4,False,215
apartamentos,rn,False,True,4,False,3,False,True,True,False,False,False,2,True,True,True,700,920.000,2.120,False,True,1,False,112
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,450,370.000,211,False,True,1,False,75
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,False,True,True,425,350.000,,False,False,1,False,55
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,False,,328.000,,False,False,1,False,55
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,False,,318.990,,False,False,1,False,55
apartamentos,rn,False,True,1,False,2,False,False,False,False,False,False,1,False,False,True,222,70.000,600,False,False,,False,57
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,1,True,False,True,400,145.000,1.000,False,False,1,False,55
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,False,True,True,470,259.900,900,False,True,1,False,57
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,False,False,True,,270.000,,False,True,1,False,55
